Track Name,Album Name,Artist Name(s),Release Date,Popularity,Explicit,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Duration (mins)
Lose Control,I've Tried Everything But Therapy (Part 1),Teddy Swims,2023-09-15,89,False,2024-12-04T12:15:00Z,Unknown,Warner Records,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,3,3.51
"Good Luck, Babe!","Good Luck, Babe!",Chappell Roan,2024-04-05,90,False,2024-12-04T12:15:00Z,Unknown,Chappell Roan PS/ Island,0.7,0.582,11,-5.96,0,0.0356,0.0502,0.0,0.0881,0.785,116.712,4,3.64
Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,88,True,2024-12-04T12:15:00Z,"hip hop,west coast hip hop","Kendrick Lamar, under exclusive license to Interscope Records",0.898,0.472,1,-7.001,1,0.0776,0.0107,0.0,0.141,0.214,101.061,4,4.57
Who,MUSE,Jimin,2024-07-19,85,False,2024-12-04T12:15:00Z,k-pop,BIGHIT MUSIC,0.66,0.756,0,-3.743,0,0.032,0.00289,0.0,0.193,0.838,116.034,4,2.85
Sweater Weather,I Love You.,The Neighbourhood,2013-04-22,92,False,2024-12-04T12:15:00Z,Unknown,Columbia,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4,4.01
I Wanna Be Yours,AM,Arctic Monkeys,2013-09-09,92,False,2023-11-29T12:16:00Z,"indie,garage rock",Domino Recording Co,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4,3.07
Love Me Not,Bird's Eye,Ravyn Lenae,2024-08-09,89,False,2025-12-03T12:16:11Z,"alternative r&b,indie soul",Atlantic Records,0.779,0.731,0,-6.176,1,0.0306,0.296,0.0,0.128,0.814,114.001,4,3.56
EoO,DeBÍ TiRAR MáS FOToS,Bad Bunny,2025-01-05,95,True,2025-12-03T12:16:11Z,"reggaeton,trap latino,latin,urbano latino",Rimas Entertainment LLC.,0.36,0.464,10,-29.598,0,0.0702,0.749,0.859,0.0825,0.184,63.662,4,3.41
Yellow,Parachutes,Coldplay,2000-07-10,91,False,2024-12-04T12:15:00Z,Unknown,Parlophone UK,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4,4.45
Every Breath You Take,Synchronicity (Remastered 2003),The Police,1983-06-17,93,False,2025-12-03T12:16:11Z,Unknown,Polydor Records,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,4,4.23
VOY A LLeVARTE PA PR,DeBÍ TiRAR MáS FOToS,Bad Bunny,2025-01-05,93,True,2025-12-03T12:16:11Z,"reggaeton,trap latino,latin,urbano latino",Rimas Entertainment LLC.,0.148,0.604,7,-35.032,1,0.0588,0.921,0.453,0.405,1e-05,106.295,3,2.61
Si Antes Te Hubiera Conocido,Tropicoqueta,KAROL G,2025-06-20,85,False,2025-12-03T12:16:11Z,"reggaeton,latin,urbano latino",Bichota/Interscope Records,0.916,0.625,11,-8.379,1,0.0481,0.449,0.000226,0.0749,0.761,128.033,4,3.26
Pink Pony Club,The Rise and Fall of a Midwest Princess,Chappell Roan,2023-09-21,83,False,2025-12-03T12:16:11Z,Unknown,Chappell Roan PS/ Island,0.61,0.65,6,-6.199,1,0.0474,0.399,0.0,0.11,0.507,106.719,4,4.3
undressed,I Barely Know Her,sombr,2025-08-22,88,False,2025-12-03T12:16:11Z,Unknown,Warner Records,0.642,0.887,0,-3.883,1,0.0406,0.137,0.0,0.0829,0.888,115.999,4,3.03
No One Noticed,Submarine,The Marías,2024-05-31,90,False,2025-12-03T12:16:11Z,bedroom pop,Nice Life/Atlantic,0.705,0.339,7,-10.612,1,0.0278,0.552,0.0814,0.12,0.457,97.989,4,3.95
Abracadabra,MAYHEM,Lady Gaga,2025-03-07,82,False,2025-12-03T12:16:11Z,"art pop,pop",Interscope Records,0.679,0.906,10,-3.443,0,0.0632,0.0119,0.0,0.229,0.652,126.01,4,3.72
VeLDÁ,DeBÍ TiRAR MáS FOToS,Bad Bunny;Omar Courtz;Dei V,2025-01-05,91,True,2025-12-03T12:16:11Z,"reggaeton,trap latino,latin,urbano latino",Rimas Entertainment LLC.,0.613,0.981,1,-18.638,1,0.149,0.29,0.0023,0.437,0.0337,101.852,3,3.92
Sports car,So Close To What,Tate McRae,2025-02-20,86,False,2025-12-03T12:16:11Z,Unknown,RCA Records Label,0.861,0.815,11,-3.672,0,0.0349,0.0505,0.00139,0.1,0.886,106.978,4,2.75
See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator;Kali Uchis",2017-07-21,89,True,2023-11-29T12:16:00Z,Unknown,Columbia,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,4,3.01
Don’t Say You Love Me,Echo,Jin,2025-05-16,85,False,2025-12-03T12:16:11Z,k-pop,BIGHIT MUSIC,0.729,0.562,8,-5.49,1,0.0304,0.484,0.0,0.105,0.757,111.976,4,3.01
like JENNIE,Ruby,JENNIE,2025-03-07,88,True,2025-12-03T12:16:11Z,k-pop,OA Entertainment/Columbia,0.811,0.743,10,-5.321,0,0.0611,0.281,0.00671,0.0868,0.815,130.019,4,2.06
Taste,Short n' Sweet,Sabrina Carpenter,2024-08-23,86,False,2025-12-03T12:16:11Z,pop,Island Records,0.674,0.907,3,-4.086,1,0.064,0.101,0.0,0.297,0.721,112.964,4,2.62
tv off (feat. lefty gunplay),GNX,Kendrick Lamar;Lefty Gunplay,2024-11-22,85,True,2025-12-03T12:16:11Z,"hip hop,west coast hip hop,mexican hip hop","pgLang, under exclusive license to Interscope Records",0.855,0.529,6,-6.679,0,0.263,0.0837,0.0,0.423,0.548,100.036,4,3.68
Creep,Pablo Honey,Radiohead,1993-02-22,92,True,2025-12-03T12:16:11Z,"art rock,alternative rock",XL Recordings,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,4,3.98
capaz (merengueton),LA CIUDAD,Alleh;Yorghaki,2024-12-24,86,False,2025-12-03T12:16:11Z,Unknown,La Ciudad,0.874,0.613,3,-5.618,0,0.171,0.0791,0.000207,0.135,0.783,126.935,4,2.9
Qué Pasaría...,Cosa Nuestra,Rauw Alejandro;Bad Bunny,2024-11-15,91,True,2025-12-03T12:16:11Z,"reggaeton,trap latino,urbano latino,latin",Sony Music Latin/Duars Entertainment,0.833,0.563,4,-5.593,0,0.204,0.528,1.27e-05,0.139,0.343,105.008,4,3.18
blue,"stay with the ocean, i'll find you",yung kai,2025-09-26,73,False,2025-12-03T12:16:11Z,Unknown,BMG Rights Management (US) LLC,0.746,0.317,4,-11.982,1,0.0342,0.933,0.0186,0.121,0.585,97.49,3,3.57
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,2024-03-08,86,False,2024-12-04T12:15:00Z,pop,Republic Records,0.645,0.646,5,-8.334,1,0.0427,0.0615,3.04e-05,0.074,0.295,115.842,4,3.81
